Date,Last Touch Channel,Visitor_ID,Visits
"May 1, 2020",Direct,3332012192832158325_6917530279087334376,1
"May 1, 2020",Direct,3390839421639710446_4179512279969170780,1
"May 1, 2020",Direct,3636863835171282171_5357788319565807516,1
"May 1, 2020",Direct,5754881733197340890_3785672982095297565,1
"May 1, 2020",Direct,6498829521013032265_2091627584316300840,1
"May 1, 2020",Direct,6786148353417231369_3679437485603589634,1
"May 1, 2020",Direct,7063340150685140292_5282774558352339067,1
"May 1, 2020",Direct,7248754065971477635_3798193091654810053,1
"May 1, 2020",Direct,7763415612940432079_2973234931366081471,1
"May 1, 2020",Direct,7901970416293491003_6943991272706785070,1
"May 1, 2020",Direct,809342039848012757_3941014089210846672,1
"May 1, 2020",Direct,8411220271451976601_8179599632918471446,1
"May 1, 2020",Direct,965349406804790064_8111997725572630572,1
"May 1, 2020",Email,6856267397736298938_3345235402408623590,1
"May 1, 2020",Internal Referrer,1752276089546013513_794664073938395446,1
"May 1, 2020",Internal Referrer,1827688448449871670_3235563878330760527,1
"May 1, 2020",Natural Search,1875030319315464726_8489171202527514928,1
"May 1, 2020",Natural Search,1902371678678037624_1062795226386868228,1
"May 1, 2020",Natural Search,28725861475392833_2018899186760128861,1
"May 1, 2020",Natural Search,4816814128464405330_7900371486268783801,1
"May 1, 2020",Natural Search,4843457970964641689_2681965429231201224,1
"May 1, 2020",Natural Search,4901725728490641858_5867304500715961812,1
"May 1, 2020",Natural Search,5325188406011540231_4666840059294091566,1
"May 1, 2020",Natural Search,5523376484602028086_8817132836100327311,1
"May 1, 2020",Natural Search,5740024684498061390_1283612706339534177,1
"May 1, 2020",Natural Search,6867802315938188107_7526628086332252535,1
"May 1, 2020",Natural Search,8698571751389455287_6486693123845015290,1
"May 1, 2020",Natural Search,8805632370301395121_7488571702011134080,1
"May 1, 2020",Paid Search,2900721521247811343_9151242515673077965,1
"May 1, 2020",Referring Domains,2169256394631784170_5854463435764280868,1
"May 2, 2020",Direct,3278459471831491430_4611687204375264718,1
"May 2, 2020",Direct,8367018908443518751_688885128877122304,1
"May 2, 2020",Email,5009653386757671201_1384592463867691020,1
"May 2, 2020",Natural Search,1407304412774524589_5677505187808786697,1
"May 2, 2020",Natural Search,3360869431701401873_6917530151311935577,1
"May 2, 2020",Natural Search,3719112053655463098_4805399180689389607,1
"May 2, 2020",Natural Search,5852385856834631869_5269329386359304287,1
"May 2, 2020",Natural Search,6146306492315541450_3403263758092646828,1
"May 2, 2020",Natural Search,7334686385211287755_1932720529506879630,1
"May 2, 2020",Natural Search,8094328709613966714_7325609833673872029,1
"May 2, 2020",Referring Domains,7334686385211287755_1932720529506879630,1
"May 3, 2020",Direct,1337766723603537496_1000642635720151291,1
"May 3, 2020",Direct,1638398629600821550_6052147120495247275,1
"May 3, 2020",Direct,2954958037860241118_1150511069192880564,1
"May 3, 2020",Direct,3013334640412611661_1896140432023273,1
"May 3, 2020",Direct,3679202773851291796_4255763903653073930,1
"May 3, 2020",Internal Referrer,3949130335843284548_4888572418993168710,1
"May 3, 2020",Internal Referrer,4461927527129400527_7291961717582611915,1
"May 3, 2020",Internal Referrer,5128763376872110480_1231039165706922471,1
"May 3, 2020",Internal Referrer,7177236223169186894_5570986943906846263,1
"May 3, 2020",Natural Search,2162786956696705196_799723013880124805,1
"May 3, 2020",Natural Search,4221134763967811933_1303411420710256737,1
"May 3, 2020",Natural Search,4714645927890262671_2661207089828862539,1
"May 3, 2020",Natural Search,6791034901033005056_4401686959271212570,1
"May 3, 2020",Natural Search,8341683819229733424_3909166306246461790,1
"May 3, 2020",Referring Domains,1901738825197364939_3880301361785683025,1
"May 4, 2020",Affiliates,5145580899893545056_2447308408131538152,1
"May 4, 2020",Direct,1394121927046852432_3918582659068419988,1
"May 4, 2020",Direct,2215668760953057001_5673552466677337606,1
"May 4, 2020",Direct,3106036782640341979_7888339180235084904,1
"May 4, 2020",Direct,4095644996486600522_7943614945078277041,1
"May 4, 2020",Direct,5686233681880927681_1123072858768778956,1
"May 4, 2020",Direct,9144306126864455161_8798182942442276856,1
"May 4, 2020",Email,1630194161724408455_5987786135529744749,1
"May 4, 2020",Internal Referrer,3307314961125862386_2045621680469045707,1
"May 4, 2020",Internal Referrer,391001658524051520_5743852809819365409,1
"May 4, 2020",Internal Referrer,5243139403856000919_4236169080405991668,1
"May 4, 2020",Internal Referrer,7202885909375937743_6209933494592409382,1
"May 4, 2020",Internal Referrer,7630299405802511829_7119905655387955101,1
"May 4, 2020",Natural Search,1200084201543349794_1339515848815811217,1
"May 4, 2020",Natural Search,1795190599407146959_2841903180775933383,1
"May 4, 2020",Natural Search,2409301767231760471_5979876483667172768,1
"May 4, 2020",Natural Search,3138564340688819273_7453321103603362505,1
"May 4, 2020",Natural Search,3280334575096005999_4611687143171970211,1
"May 4, 2020",Natural Search,3503208451364612049_174499753923794965,1
"May 4, 2020",Natural Search,4532766182368785488_8041629876873903473,1
"May 4, 2020",Natural Search,5104714548480358162_5510455337367164746,1
"May 4, 2020",Natural Search,6544798990393969328_782253385736681944,1
"May 4, 2020",Natural Search,6569314505338881360_4622136296188976592,1
"May 4, 2020",Natural Search,6667645997117254333_1620104166817383431,1
"May 4, 2020",Natural Search,7254966123387297873_1037180741814258090,1
"May 4, 2020",Paid Search,5475779030433232192_3861369691010804646,1
"May 5, 2020",Direct,3371760763684185163_4790465746250248314,1
"May 5, 2020",Direct,3874005357049429601_3748628412117214120,1
"May 5, 2020",Direct,4490625880914572484_2078710179717113543,1
"May 5, 2020",Direct,4550531776918044843_5169415939650891673,1
"May 5, 2020",Direct,4810304476068001763_1433813890204442444,1
"May 5, 2020",Direct,5249807942193687282_3643491973974450410,1
"May 5, 2020",Direct,6375640479404465193_8720881550735252439,1
"May 5, 2020",Direct,7453808339308733273_7666076336184596062,1
"May 5, 2020",Direct,8771414453242267037_4662941363353122187,1
"May 5, 2020",Internal Referrer,2569976682820726810_217245109019705576,1
"May 5, 2020",Internal Referrer,2971559895180775491_432768723837842000,1
"May 5, 2020",Natural Search,2510328801553888903_3101969565542885162,1
